PERIODO;MES;DIA;DIA_NOMBRE;COMUNA;Es fecha importante;Riesgo;Numero de accidentes;Accidentes con Heridos;Accidentes con solo daños;Accidentes con muertos
2014;1;1;MIÉRCOLES;Aranjuez;1;Bajo;2;2;0;0
2014;1;1;MIÉRCOLES;Aranjuez;1;Medio;4;2;2;0
2014;1;1;MIÉRCOLES;Belén;1;Bajo;4;3;1;0
2014;1;1;MIÉRCOLES;Belén;1;Medio;2;1;1;0
2014;1;1;MIÉRCOLES;Buenos Aires;1;Bajo;3;3;0;0
2014;1;1;MIÉRCOLES;Buenos Aires;1;Medio;3;2;1;0
2014;1;1;MIÉRCOLES;Castilla;1;Alto;1;1;0;0
2014;1;1;MIÉRCOLES;Castilla;1;Bajo;1;0;1;0
2014;1;1;MIÉRCOLES;Castilla;1;Medio;5;3;2;0
2014;1;1;MIÉRCOLES;Corregimiento de San Antonio de Prado;1;Medio;1;1;0;0
2014;1;1;MIÉRCOLES;Corregimiento de San Cristóbal;1;Medio;1;1;0;0
2014;1;1;MIÉRCOLES;Doce de Octubre;1;Medio;4;4;0;0
2014;1;1;MIÉRCOLES;El Poblado;1;Alto;1;1;0;0
2014;1;1;MIÉRCOLES;El Poblado;1;Bajo;1;1;0;0
2014;1;1;MIÉRCOLES;Guayabal;1;Alto;2;2;0;0
2014;1;1;MIÉRCOLES;Guayabal;1;Medio;1;0;1;0
2014;1;1;MIÉRCOLES;La América;1;Bajo;1;1;0;0
2014;1;1;MIÉRCOLES;La Candelaria;1;Alto;7;5;2;0
2014;1;1;MIÉRCOLES;La Candelaria;1;Medio;1;1;0;0
2014;1;1;MIÉRCOLES;Laureles Estadio;1;Alto;1;0;1;0
2014;1;1;MIÉRCOLES;Laureles Estadio;1;Bajo;1;1;0;0
2014;1;1;MIÉRCOLES;Laureles Estadio;1;Medio;1;1;0;0
2014;1;1;MIÉRCOLES;Manrique;1;Bajo;4;3;1;0
2014;1;1;MIÉRCOLES;Manrique;1;Medio;6;3;3;0
2014;1;1;MIÉRCOLES;Popular;1;Bajo;5;4;1;0
2014;1;1;MIÉRCOLES;Robledo;1;Bajo;4;3;1;0
2014;1;1;MIÉRCOLES;Robledo;1;Medio;5;5;0;0
2014;1;1;MIÉRCOLES;San Javier;1;Bajo;1;1;0;0
2014;1;1;MIÉRCOLES;Villa Hermosa;1;Medio;1;1;0;0
2014;1;2;JUEVES   ;Aranjuez;0;Bajo;1;1;0;0
2014;1;2;JUEVES   ;Aranjuez;0;Medio;6;2;4;0
2014;1;2;JUEVES   ;Belén;0;Alto;1;1;0;0
2014;1;2;JUEVES   ;Belén;0;Medio;2;2;0;0
