"BARRIO","COMUNA","NUM_ACCIDENTES","HERIDOS","ATROPELLOS","RIESGO_NUMERICO","RIESGO"
"Loma de los Bernal","Belén",393,183,24,2,"Bajo"
"Jesús Nazareno","La Candelaria",1990,1096,178,3,"Alto"
"Manrique Oriental","Manrique",877,633,144,1,"Medio"
"Las Mercedes","Belén",348,207,38,2,"Bajo"
"Doce de Octubre No.2","Doce de Octubre",624,492,109,1,"Medio"
"Berlin","Aranjuez",791,527,158,1,"Medio"
"Barrio Caicedo","Buenos Aires",908,573,116,1,"Medio"
"La Milagrosa","Buenos Aires",495,310,58,2,"Bajo"
"U.D. Atanasio Girardot","Laureles Estadio",309,166,34,2,"Bajo"
"Villa Carlota","El Poblado",2229,885,76,3,"Alto"
"Brasilia","Aranjuez",500,359,79,2,"Bajo"
"Las Granjas","Manrique",1114,828,262,1,"Medio"
"Terminal de Transporte","Castilla",2906,1332,160,3,"Alto"
"Santa Inés","Manrique",548,394,112,2,"Bajo"
"Popular","Popular",464,328,127,2,"Bajo"
"El Raizal","Manrique",478,352,86,2,"Bajo"
"Villa Flora","Robledo",820,519,45,1,"Medio"
"San Pablo","Popular",364,268,98,2,"Bajo"
"Aures No.1","Robledo",486,386,75,2,"Bajo"
"Cabecera San Antonio de Prado","Corregimiento de San Antonio de Prado",1748,1043,252,1,"Medio"
"Moscú No. 2","Popular",305,240,89,2,"Bajo"
"Las Brisas","Castilla",995,603,63,1,"Medio"
"Cabecera Urbana San Cristobal","Corregimiento de San Cristóbal",590,424,108,1,"Medio"
"El Pomar","Manrique",342,263,63,2,"Bajo"
"La Esperanza","Doce de Octubre",676,552,152,1,"Medio"
"Aures No. 2","Robledo",576,465,74,1,"Medio"
"Guayaquil","La Candelaria",3513,1415,347,3,"Alto"
"Versalles No. 1","Manrique",501,350,126,2,"Bajo"
"Francisco Antonio Zea","Castilla",592,403,76,1,"Medio"
"San Benito","La Candelaria",3437,1471,410,3,"Alto"
"El Rincón","Belén",846,514,86,1,"Medio"
"Asomadera No. 2","Buenos Aires",489,181,8,2,"Bajo"
"Calasanz Parte Alta","La América",434,237,23,2,"Bajo"
"Betania","San Javier",110,81,20,2,"Bajo"
"Altos del Poblado","El Poblado",269,127,15,2,"Bajo"
"Altavista","Belén",353,214,62,2,"Bajo"
"Manrique Central No. 1","Aranjuez",1120,736,105,1,"Medio"
"Girardot","Castilla",1026,690,92,1,"Medio"
"Campo Amor","Guayabal",4147,1944,205,3,"Alto"
"Buenos Aires","Buenos Aires",993,608,84,1,"Medio"
"El Diamante","Robledo",1003,760,126,1,"Medio"
"Kennedy","Doce de Octubre",923,668,192,1,"Medio"
"La Castellana","Laureles Estadio",715,348,42,1,"Medio"
"La Candelaria","La Candelaria",5101,2123,929,3,"Alto"
"San Miguel","Villa Hermosa",811,567,66,1,"Medio"
"Barrio Colón","La Candelaria",3630,1402,319,3,"Alto"
"Bello Horizonte","Robledo",335,227,51,2,"Bajo"
"Estación Villa","La Candelaria",1205,617,203,1,"Medio"
"Alejandro Echavarría","Buenos Aires",852,605,98,1,"Medio"
"Prado","La Candelaria",2027,1147,164,3,"Alto"
"Cristo Rey","Guayabal",1922,975,147,1,"Medio"
"Santo Domingo Savio No. 1","Popular",499,388,173,2,"Bajo"
"Cementerio Universal","Castilla",211,106,6,2,"Bajo"
"Rosales","Belén",1503,797,78,1,"Medio"
"San Isidro","Aranjuez",1008,726,135,1,"Medio"
"El Progreso","Castilla",1780,927,104,1,"Medio"
"Carlos E. Restrepo","Laureles Estadio",2987,1361,139,3,"Alto"
"Manrique Central No. 2","Manrique",643,464,93,1,"Medio"
"Campo Valdés No. 1","Aranjuez",1210,901,184,1,"Medio"
"Toscana","Castilla",814,473,53,1,"Medio"
"La Hondonada","Belén",176,99,9,2,"Bajo"
"Campo Valdés No. 2","Manrique",870,711,196,1,"Medio"
"La Pilarica","Robledo",468,264,28,2,"Bajo"
"Naranjal","Laureles Estadio",2709,1165,146,3,"Alto"
"San Bernardo","Belén",1009,596,111,1,"Medio"
"La Salle","Manrique",559,420,155,1,"Medio"
"Guayabal","Guayabal",2325,1085,139,3,"Alto"
"Astorga","El Poblado",301,104,11,2,"Bajo"
"San Diego","La Candelaria",2860,1150,148,3,"Alto"
"El Poblado","El Poblado",1339,423,65,1,"Medio"
"La Pradera","San Javier",389,286,61,2,"Bajo"
"Calle Nueva","La Candelaria",1618,610,124,1,"Medio"
"Cucaracho","Robledo",1004,739,63,1,"Medio"
"Bomboná No. 2","Buenos Aires",333,202,36,2,"Bajo"
"Belén","Belén",2448,1047,188,3,"Alto"
"Sevilla","Aranjuez",1262,668,120,1,"Medio"
"Facultad de Minas U. Nacional","Robledo",1165,691,44,1,"Medio"
"El Compromiso","Popular",108,78,36,2,"Bajo"
"Pajarito","Robledo",103,77,9,2,"Bajo"
"Tricentenario","Castilla",972,548,48,1,"Medio"
"Las Lomas No.1","El Poblado",543,195,12,2,"Bajo"
"Jardín Botánico","Aranjuez",203,105,22,2,"Bajo"
"Castilla","Castilla",2599,1908,326,3,"Alto"
"Cataluña","Buenos Aires",276,158,30,2,"Bajo"
"Moscú No. 1","Santa Cruz",341,226,77,2,"Bajo"
"Moravia","Aranjuez",1343,833,271,1,"Medio"
"Barrio Cristóbal","La América",154,90,12,2,"Bajo"
"Caribe","Castilla",4436,2257,193,3,"Alto"
